# BEGIN PLOT
Legend=1
LogY=1
Title=Distributions of the longitudinal momentum fraction of the hadron with respect to the jet.
XLabel=${z}$
YLabel=$\frac{1}{N_{\textrm{Z+jet}}} \frac{\textrm{d} N}{\textrm{d}z}$
YLabelSep=5.5
ErrorBars=1
NormalizeToIntegral=1
LogX=1
CustomLegend=${20} < p_{{\textrm{{T,jet}}}} < {30}$ GeV
DrawOnly=/LHCB_2019_I1730448/d01-x01-y01 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
LegendOnly=/LHCB_2019_I1730448/d01-x01-y01 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
RatioPlot=1
RatioPlotReference=/LHCB_2019_I1730448/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /LHCB_2019_I1730448/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/LHCB_2019_I1730448/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e-03	1.000000e-02	4.010000e+00	3.060000e-01	3.060000e-01
1.000000e-02	1.500000e-02	1.770000e+01	4.080000e-01	4.080000e-01
1.500000e-02	2.000000e-02	3.810000e+01	5.980000e-01	5.980000e-01
2.000000e-02	3.000000e-02	5.240000e+01	4.960000e-01	4.960000e-01
3.000000e-02	4.000000e-02	5.180000e+01	4.930000e-01	4.930000e-01
4.000000e-02	5.000000e-02	4.450000e+01	4.570000e-01	4.570000e-01
5.000000e-02	6.000000e-02	3.860000e+01	4.250000e-01	4.250000e-01
6.000000e-02	8.000000e-02	3.090000e+01	2.690000e-01	2.690000e-01
8.000000e-02	1.000000e-01	2.300000e+01	2.320000e-01	2.320000e-01
1.000000e-01	1.250000e-01	1.710000e+01	1.790000e-01	1.790000e-01
1.250000e-01	1.500000e-01	1.230000e+01	1.520000e-01	1.520000e-01
1.500000e-01	2.000000e-01	7.830000e+00	8.560000e-02	8.560000e-02
2.000000e-01	3.000000e-01	3.690000e+00	4.160000e-02	4.160000e-02
3.000000e-01	4.000000e-01	1.450000e+00	2.610000e-02	2.610000e-02
4.000000e-01	5.000000e-01	6.610000e-01	1.760000e-02	1.760000e-02
5.000000e-01	7.500000e-01	2.110000e-01	6.290000e-03	6.290000e-03
# END HISTO1D


# BEGIN HISTO1D //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
ScaledBy=1.75131348511383539e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e-03	1.000000e-02	1.751313e+00	1.238366e+00	1.238366e+00
1.000000e-02	1.500000e-02	6.654992e+00	1.526760e+00	1.526760e+00
1.500000e-02	2.000000e-02	8.756568e+00	1.751313e+00	1.751313e+00
2.000000e-02	3.000000e-02	1.418564e+01	1.576182e+00	1.576182e+00
3.000000e-02	4.000000e-02	1.225919e+01	1.465254e+00	1.465254e+00
4.000000e-02	5.000000e-02	1.138354e+01	1.411954e+00	1.411954e+00
5.000000e-02	6.000000e-02	5.954466e+00	1.021183e+00	1.021183e+00
6.000000e-02	8.000000e-02	6.042030e+00	7.273751e-01	7.273751e-01
8.000000e-02	1.000000e-01	4.903678e+00	6.552814e-01	6.552814e-01
1.000000e-01	1.250000e-01	3.222417e+00	4.751195e-01	4.751195e-01
1.250000e-01	1.500000e-01	1.891418e+00	3.640037e-01	3.640037e-01
1.500000e-01	2.000000e-01	1.050788e+00	1.918468e-01	1.918468e-01
2.000000e-01	3.000000e-01	5.429072e-01	9.750901e-02	9.750901e-02
3.000000e-01	4.000000e-01	1.926445e-01	5.808450e-02	5.808450e-02
4.000000e-01	5.000000e-01	5.253940e-02	3.033364e-02	3.033364e-02
5.000000e-01	7.500000e-01	1.401051e-02	9.906925e-03	9.906925e-03
# END HISTO1D

